date_TTM_30,exdate_TTM_30,kappa_TTM_30,date_TTM_60,exdate_TTM_60,kappa_TTM_60,date_TTM_90,exdate_TTM_90,kappa_TTM_90,date_TTM_180,exdate_TTM_180,kappa_TTM_180
20040721,20040820,0.00148193841576017,20040721,20040917,0.00639347581632874,20040714,20041015,0.0100305132516988,20040721,20050121,0.0209510104004928
20040818,20040917,0.00136933175936869,20040818,20041015,0.00562602483334823,20040818,20041119,0.00491402806029363,20040818,20050218,0.0167343965159547
20040915,20041015,0.00135028337920639,20040922,20041119,0.00486523966579831,20040915,20041217,0.00448339562352428,20040915,20050318,0.0120012235254885
20041020,20041119,0.00146785226227971,20041020,20041217,0.00543695911055626,20041020,20050121,0.00494225234203542,20041013,20050415,0.0183652213691926
20041117,20041217,0.00150106827447961,20041124,20050121,0.00448792030818785,20041117,20050218,0.00625712592835207,20041117,20050520,0.0145942149017458
20041222,20050121,0.00164003477592941,20041222,20050218,0.00507268089141502,20041215,20050318,0.00520218374968797,20041215,20050617,0.0134516462193997
20050119,20050218,0.00168389762853392,20050119,20050318,0.00532912863097518,20050112,20050415,0.010070799322245,20050112,20050715,0.0194593976268117
20050216,20050318,0.00175700284259629,20050216,20050415,0.00531310570363675,20050216,20050520,0.00587544305806908,20050216,20050819,0.0132996294705082
20050316,20050415,0.00191459480447286,20050323,20050520,0.00611998665357669,20050316,20050617,0.00558391283421869,20050316,20050916,0.0143137360269284
20050420,20050520,0.00251696621003882,20050420,20050617,0.00754744764959,20050413,20050715,0.0106820468206661,20050420,20051021,0.0222706259945085
20050518,20050617,0.00209176416841489,20050518,20050715,0.00618825905144843,20050518,20050819,0.00811534304746096,20050518,20051118,0.0182888528312782
20050615,20050715,0.00218725500492447,20050622,20050819,0.00655799779169307,20050615,20050916,0.00626045291626784,20050615,20051216,0.0151851811080899
20050720,20050819,0.00231804475438518,20050720,20050916,0.00686423314568678,20050720,20051021,0.00668463543216276,20050720,20060120,0.0203008948481941
20050817,20050916,0.00242608988817784,20050824,20051021,0.00727094398839552,20050817,20051118,0.00925042059395194,20050817,20060217,0.0198981684404101
20050921,20051021,0.00259164731926866,20050921,20051118,0.0076269861182758,20050914,20051216,0.00709864155553083,20050914,20060317,0.0168883691630501
20051019,20051118,0.00274804076355136,20051019,20051216,0.00788376934574773,20051019,20060120,0.0126873644448845,20051019,20060421,0.0247191895138468
20051116,20051216,0.00279697445461811,20051123,20060120,0.00827431365021261,20051116,20060217,0.00953271236398768,20051116,20060519,0.0207601468184362
20051221,20060120,0.0029597564361374,20051221,20060217,0.00857274868112564,20051214,20060317,0.00821598163392986,20051214,20060616,0.0189330714393164
20060118,20060217,0.0030268544909359,20060118,20060317,0.0087198474611767,20060118,20060421,0.0131140712028786,20060118,20060721,0.0246227191786057
20060215,20060317,0.00309359865399202,20060222,20060421,0.00908746674717824,20060215,20060519,0.0104797618222558,20060215,20060818,0.0219866231724657
20060322,20060421,0.00325323220064024,20060322,20060519,0.00936928832404603,20060315,20060616,0.00885247488024555,20060315,20060915,0.0203827848163069
20060419,20060519,0.00332701981964924,20060419,20060616,0.00958695418678858,20060419,20060721,0.0131973174462416,20060419,20061020,0.0252027084550183
20060517,20060616,0.00352744265939372,20060524,20060721,0.0110465212829229,20060517,20060818,0.0119788128970096,20060517,20061117,0.0243974384662916
20060621,20060721,0.00358511245148584,20060621,20060818,0.0106219204278927,20060614,20060915,0.0117789967469688,20060614,20061215,0.0260271913006657
20060719,20060818,0.00363727164285057,20060719,20060915,0.0106016303378978,20060719,20061020,0.0161005788310854,20060719,20070119,0.0295930482365313
20060816,20060915,0.00360181664933291,20060823,20061020,0.0102281240427927,20060816,20061117,0.012111506755622,20060816,20070216,0.024646171426421
20060920,20061020,0.00360291808762136,20060920,20061117,0.0102115344111431,20060913,20061215,0.00969113712667775,20060913,20070316,0.0217482401149346
20061018,20061117,0.00359572818728809,20061018,20061215,0.010179422520167,20061018,20070119,0.0141600206290895,20061018,20070420,0.0264655531031599
20061115,20061215,0.0035953688671725,20061122,20070119,0.0101707364419798,20061115,20070216,0.0106811670750869,20061115,20070518,0.0218909949137006
20061220,20070119,0.00361693788813412,20061220,20070216,0.0101827035345477,20061213,20070316,0.00959718950732631,20061213,20070615,0.0215027602136408
20070117,20070216,0.00359530110830469,20070117,20070316,0.0101551377575054,20070117,20070420,0.0140582226717509,20070117,20070720,0.0270695288759015
20070214,20070316,0.00361136723687152,20070221,20070420,0.0101643490167348,20070214,20070518,0.0109834702179746,20070214,20070817,0.0233302948791088
20070321,20070420,0.00359632355692331,20070321,20070518,0.0101272604216836,20070314,20070615,0.0100526963406657,20070321,20070921,0.0211605126116885
20070418,20070518,0.00359650072947371,20070418,20070615,0.0101461195900139,20070418,20070720,0.0151124464293886,20070418,20071019,0.027264175833704
20070516,20070615,0.00359598375691414,20070523,20070720,0.0101617186775745,20070516,20070817,0.0125754404124313,20070516,20071116,0.0245354043709774
20070620,20070720,0.00359671442364081,20070620,20070817,0.0106423319500125,20070620,20070921,0.00996949416519923,20070620,20071221,0.0228303482383529
20070718,20070817,0.00366851362821209,20070725,20070921,0.0120556443322628,20070718,20071019,0.0178818510135675,20070718,20080118,0.0306810093971263
20070822,20070921,0.00539926357532401,20070822,20071019,0.0156512830807803,20070815,20071116,0.020941582098379,20070815,20080215,0.0369773104348599
20070919,20071019,0.00442967520080293,20070919,20071116,0.0131043850532813,20070919,20071221,0.0115567353212863,20070919,20080321,0.0237091305608328
20071017,20071116,0.00407852809028295,20071024,20071221,0.013312079464906,20071017,20080118,0.0188492178599429,20071017,20080418,0.0332822539714286
20071121,20071221,0.00622601093169072,20071121,20080118,0.0184902412470221,20071114,20080215,0.0196538400612282,20071114,20080516,0.03701759780156
20071219,20080118,0.0050352075156191,20071219,20080215,0.0157250324185098,20071219,20080321,0.0138409127195799,20071219,20080620,0.0305018766704504
20080116,20080215,0.00524708385177636,20080123,20080321,0.0169502741822232,20080116,20080418,0.0130461010079442,20080116,20080718,0.0364197848668056
20080220,20080321,0.00518441860505976,20080220,20080418,0.0155349872447735,20080213,20080516,0.0135697152406568,20080213,20080815,0.0343357074160821
20080319,20080418,0.006508098789197,20080319,20080516,0.0185122481592856,20080319,20080620,0.0150144633172385,20080319,20080919,0.0310679143996719
20080416,20080516,0.00286780485416958,20080423,20080620,0.00941500549908626,20080416,20080718,0.00805338618500243,20080416,20081017,0.025902803645521
20080521,20080620,0.00230910281012357,20080521,20080718,0.00876452938347691,20080514,20080815,0.0071191465354452,20080521,20081121,0.0231658963138054
20080618,20080718,0.0032339576084192,20080618,20080815,0.0108565823135976,20080618,20080919,0.00944415520113389,20080618,20081219,0.022727293830282
20080716,20080815,0.00384018443194693,20080723,20080919,0.00978629799291534,20080716,20081017,0.00990930562590148,20080716,20090116,0.0301181811935845
20080820,20080919,0.00279702577503752,20080820,20081017,0.0097254325721354,20080820,20081121,0.00878154552646859,20080820,20090220,0.0244387732903901
20080917,20081017,0.00841874430956793,20080924,20081121,0.0220777811355239,20080917,20081219,0.015723787879398,20080917,20090320,0.0312633477729381
20081022,20081121,0.0262814717140929,20081022,20081219,0.0585664469610568,20081015,20090116,0.0379610257430739,20081015,20090417,0.0718409644807187
20081119,20081219,0.0300601432116079,20081119,20090116,0.0777599767439743,20081119,20090220,0.0549460009282504,20081112,20090515,0.087157958823659
20081217,20090116,0.0136175371761732,20081224,20090220,0.033582976668657,20081217,20090320,0.0345653208909578,20081217,20090619,0.067828258186524
20090121,20090220,0.0104292695048489,20090121,20090320,0.0351840095036063,20090114,20090417,0.0294438566722776,20090114,20090717,0.0706662045774514
20090218,20090320,0.010686788573151,20090218,20090417,0.0314506400360496,20090211,20090515,0.0221289787182218,20090218,20090821,0.0559953825868841
20090318,20090417,0.00803953258972837,20090318,20090515,0.0251389992301699,20090318,20090619,0.019767948963677,20090318,20090918,0.0418271191718232
20090415,20090515,0.0064286365550378,20090422,20090619,0.0219421028091415,20090415,20090717,0.0172969138072238,20090415,20091016,0.052387415868055
20090520,20090619,0.00323261714469664,20090520,20090717,0.0114123953148079,20090520,20090821,0.00895548257998503,20090520,20091120,0.0248174645058886
20090617,20090717,0.00412610922244812,20090624,20090821,0.0120017725880162,20090617,20090918,0.010553776304295,20090617,20091218,0.0246437578401867
20090722,20090821,0.00175892240775592,20090722,20090918,0.00784598884659538,20090715,20091016,0.00789776275114298,20090715,20100115,0.027024811407716
20090819,20090918,0.0026472774873871,20090819,20091016,0.00954968839236286,20090819,20091120,0.00789978715125887,20090819,20100219,0.0221747524439196
20090916,20091016,0.00182268662251026,20090923,20091120,0.00749033114379857,20090916,20091218,0.00575667501491219,20090916,20100319,0.0146378221220106
20091021,20091120,0.00153531024349391,20091021,20091218,0.00646379302379341,20091014,20100115,0.00512604391391085,20091014,20100416,0.0202263213842739
20091118,20091218,0.00149225407999769,20091118,20100115,0.00636145294038363,20091118,20100219,0.00530415124364094,20091118,20100521,0.0177622925421452
20091216,20100115,0.00115656673267242,20091223,20100219,0.00435220876918103,20091216,20100319,0.00491564882807277,20091216,20100618,0.0141894379962657
20100120,20100219,0.000710967479000306,20100120,20100319,0.00395305188076229,20100113,20100416,0.00303117641121019,20100113,20100716,0.0125390469018243
20100217,20100319,0.00136746093554512,20100217,20100416,0.00561784167624744,20100217,20100521,0.0044548686831068,20100217,20100820,0.0131231897675353
20100317,20100416,0.000397265565002547,20100324,20100521,0.00294168138896369,20100317,20100618,0.00209854819573288,20100317,20100917,0.00719901577828377
20100421,20100521,0.000392523814228261,20100421,20100618,0.00253315330038232,20100414,20100716,0.00182872891911178,20100414,20101015,0.0106729653115724
20100519,20100618,0.00571707318254665,20100519,20100716,0.0161666363791436,20100519,20100820,0.0122712963706512,20100519,20101119,0.029897389334343
20100616,20100716,0.00268219009197426,20100623,20100820,0.0100996846648143,20100616,20100917,0.00783018175921723,20100616,20101217,0.0190102539474211
20100721,20100820,0.00257380156404751,20100721,20100917,0.0097664926192332,20100714,20101015,0.00822236828016856,20100721,20110121,0.0275847897207234
20100818,20100917,0.00191498210783443,20100818,20101015,0.00851107170523763,20100818,20101119,0.00729913324332632,20100818,20110218,0.0217581478017426
