date_30,rf_gross_TTM30,date_60,rf_gross_TTM60,date_90,rf_gross_TTM90,date_180,rf_gross_TTM180
20011121,1.00169133943278,20011121,1.00333022763358,20011121,1.00500558650541,20011121,1.01348986975142
20011219,1.00153912333579,20011219,1.0030213787762,20011219,1.00451787600433,20011219,1.01032090062009
20020116,1.00140289982036,20020116,1.00277611725947,20020122,1.00438882656824,20020116,1.00801402819645
20020213,1.00148807459726,20020213,1.00338313049844,20020219,1.00466024253673,20020213,1.01325450898777
20020320,1.00153990511421,20020320,1.00322787251754,20020320,1.00552667551753,20020320,1.01262664699749
20020417,1.00149569178356,20020417,1.0034697545948,20020422,1.00483589205859,20020417,1.00941047722404
20020522,1.00147900043355,20020522,1.00300646058548,20020522,1.00460246448425,20020522,1.01334660481117
20020619,1.00147792012385,20020619,1.00295710297189,20020619,1.00485448666494,20020619,1.01035959913073
20020717,1.00147885894183,20020717,1.00329468569074,20020724,1.004246353629,20020717,1.008207857603
20020821,1.00145731094295,20020821,1.00283521641395,20020821,1.00419799045428,20020821,1.01042539388877
20020918,1.00146526822472,20020918,1.00286828146997,20020918,1.00458983149306,20020918,1.00911979857398
20021016,1.00146629233591,20021016,1.00319891222529,20021021,1.00435113387151,20021016,1.00770745460377
20021120,1.00110149980756,20021120,1.00220759780796,20021120,1.00359180927148,20021120,1.00863694066201
20021218,1.00112599335799,20021218,1.00244926976625,20021218,1.00350978777252,20021218,1.0070742771521
20030122,1.00108874336081,20030122,1.00211192453053,20030122,1.0030848627274,20030122,1.00539410812691
20030219,1.00107734992495,20030219,1.00206625033457,20030224,1.00292544332217,20030219,1.00767213702105
20030318,1.00103433370522,20030318,1.00203931461612,20030318,1.00323254777037,20030318,1.00641064684931
20030416,1.00106925249442,20030416,1.00234079001912,20030421,1.00314942385947,20030416,1.00560070041603
20030521,1.00105763824579,20030521,1.0020017715183,20030521,1.00290651089456,20030521,1.00684909629732
20030618,1.00090879215284,20030618,1.00168988488921,20030618,1.00262802095835,20030618,1.00511476596076
20030716,1.00088696006185,20030716,1.00195752293863,20030721,1.00266851357614,20030716,1.00476010850947
20030820,1.00089039052747,20030820,1.00178460119521,20030820,1.00293476275673,20030820,1.00717108831247
20030917,1.00089737478359,20030917,1.00202679356248,20030917,1.00293512279036,20030917,1.00597826473238
20031022,1.00089687818878,20031022,1.0018145458306,20031022,1.00275078899705,20031022,1.00499501362612
20031119,1.00089669329141,20031119,1.0018163649173,20031124,1.00283179771763,20031119,1.00761647858046
20031217,1.00091595518988,20031217,1.00206675940789,20031217,1.00300665913681,20031217,1.00627831710511
20040121,1.00088192252133,20040121,1.00176817109716,20040121,1.00266999759884,20040121,1.0047779751946
20040218,1.0008761221432,20040218,1.00175660676861,20040223,1.00273244260196,20040218,1.00710196413696
20040317,1.00087559224883,20040317,1.00196176563184,20040317,1.00284687918137,20040317,1.00588280718578
20040421,1.00088579974367,20040421,1.00183424976932,20040421,1.00284829948988,20040421,1.00544634643281
20040519,1.00088935738485,20040519,1.00200521285557,20040524,1.00343556922676,20040519,1.01042261225035
20040616,1.00101188377881,20040616,1.00269026327124,20040616,1.00423910116961,20040616,1.01012059867991
20040721,1.00114717661878,20040721,1.00255855463944,20040721,1.00407167189616,20040721,1.00795488961196
20040818,1.00128857173794,20040818,1.00272587201939,20040825,1.00443291472837,20040818,1.01207361348782
