date_TTM_30,exdate_TTM_30,kappa_TTM_30,date_TTM_60,exdate_TTM_60,kappa_TTM_60,date_TTM_90,exdate_TTM_90,kappa_TTM_90,date_TTM_180,exdate_TTM_180,kappa_TTM_180
20031023,20031121,0.851275347141118,20031021,20031219,0.976907127583047,20040120,20040416,0.888928790542844,20170918,20180316,0.894654342336488
20031120,20031219,0.850500745389214,20031118,20040116,0.977242626322815,20040223,20040521,0.888117942499981,20171218,20180615,0.902097883789251
20031218,20040116,0.85125011807559,20031223,20040220,0.978542794799889,20040322,20040618,0.88739888086079,20180326,20180921,0.909304194505235
20040122,20040220,0.851077206675428,20040120,20040319,0.97693822598098,20040419,20040716,0.889325425701429,20180625,20181221,0.906854419236742
20040219,20040319,0.850832280484186,20040217,20040416,0.976900217625784,20040524,20040820,0.888800496776879,20180723,20190118,0.905749269973979
20040318,20040416,0.851180768337206,20040323,20040521,0.976690186177308,20040621,20040917,0.890639552711917,20180917,20190315,0.906284382027279
20040422,20040521,0.852192234329227,20040420,20040618,0.977849049694751,20040719,20041015,0.890702209047029,20181224,20190621,0.914946604499358
20040520,20040618,0.851412908896801,20040518,20040716,0.977405354640314,20040823,20041119,0.890387101972853,20190219,20190816,0.904085574898686
20040617,20040716,0.851568248780049,20040622,20040820,0.978694009562212,20040920,20041217,0.891966847524236,20190325,20190920,0.907887128331727
20040722,20040820,0.852677181770304,20040720,20040917,0.979242994484983,20041025,20050121,0.892446107228171,20190422,20191018,0.905687845632265
20040819,20040917,0.852078423659169,20040817,20041015,0.979109371637727,20041122,20050218,0.894067321885815,20190520,20191115,0.903177577295761
20040916,20041015,0.852970874837246,20040921,20041119,0.980391699005707,20041220,20050318,0.895200023330984,20190624,20191220,0.899633382217527
20041021,20041119,0.852652941338804,20041019,20041217,0.980167033715323,20050222,20050520,0.895097463089739,20190722,20200117,0.899027480452085
20041118,20041217,0.853801808069796,20041123,20050121,0.981208327018154,20050321,20050617,0.894413940971219,20190826,20200221,0.900692345655387
20041223,20050121,0.853867600824513,20041221,20050218,0.982528185555509,20050418,20050715,0.893858097174953,20190923,20200320,0.901178182172237
20050120,20050218,0.853339765666939,20050118,20050318,0.982281779117954,20050523,20050819,0.895569426392823,20191021,20200417,0.899939131091579
20050217,20050318,0.854113272080645,20050215,20050415,0.982184779724408,20050620,20050916,0.895679718174107,20191118,20200515,0.898772255661647
20050317,20050415,0.853937419466547,20050322,20050520,0.981490311635341,20050725,20051021,0.896563435489803,20191223,20200619,0.899984323910279
20050421,20050520,0.852580906706104,20050419,20050617,0.981153269743972,20050822,20051118,0.896226625725257,20200121,20200717,0.898062692524673
20050519,20050617,0.853442559117526,20050517,20050715,0.981551235855789,20050919,20051216,0.896263869729263,20200224,20200821,0.900547126515017
20050616,20050715,0.854284947168469,20050621,20050819,0.982493032178655,20051024,20060120,0.896091254966145,20200323,20200918,0.946856836801011
20050721,20050819,0.853445844064255,20050719,20050916,0.982678428578769,20051121,20060217,0.89755296013462,20200420,20201016,0.935433864956115
20050818,20050916,0.853777355895196,20050823,20051021,0.983115297209941,20051219,20060317,0.897710519816669,20200526,20201120,0.917042427110694
20050922,20051021,0.853725487296332,20050920,20051118,0.982979141155346,20060123,20060421,0.89803459814775,20200622,20201218,0.916004433236972
20051020,20051118,0.853110801026001,20051018,20051216,0.982688436595919,20060221,20060519,0.898603910089855,20200720,20210115,0.907825004268692
20051117,20051216,0.854837957724415,20051122,20060120,0.984023305843013,20060320,20060616,0.898525246491092,20200824,20210219,0.908587543661359
20051222,20060120,0.854455748735574,20051220,20060217,0.984186624678834,20060424,20060721,0.899314841714697,20200921,20210319,0.910041036144801
20060119,20060217,0.854355886684132,20060117,20060317,0.984241087301575,20060522,20060818,0.898092952356159,20201019,20210416,0.907663981117351
20060216,20060317,0.854344945860678,20060221,20060421,0.984598745816235,20060619,20060915,0.89855506366462,20201123,20210521,0.904666458192813
