Simulation,LL_Null,LL_Alternative,TestStatistic,PIT_Sup_Null,PIT_Sup_Alternative,PIT_Pairwise_Delta,KS_Null,KS_Alternative,ExitFlag_Null,ExitFlag_Alternative
39,625.501145661098,627.656570349306,4.31084937641435,0.0183098591549296,0.0183098591549296,0.0112676056338028,0.0440016786483508,0.0292965391081917,2,2
40,616.100925386446,617.492678739545,2.78350670619898,0.0267605633802817,0.0267605633802817,0.0140845070422535,0.039118557583588,0.0306905781788967,2,2
41,647.168204382082,647.504978900748,0.67354903733235,0.0267605633802817,0.023943661971831,0.0112676056338028,0.0290752512000569,0.0299186193546296,1,2
42,624.150776072458,625.265588110287,2.22962407565683,0.0323943661971831,0.0323943661971831,0.0197183098591549,0.0712360936275672,0.0551673206647867,2,2
43,647.689768656435,647.88214975856,0.384762204251047,0.0295774647887324,0.023943661971831,0.00845070422535212,0.0605381090096936,0.0519795166132743,2,2
44,606.475537971201,608.653093497702,4.35511105300202,0.0267605633802817,0.0267605633802817,0.0225352112676056,0.0482993136296554,0.0339256861193679,1,2
45,626.390130048783,627.169615776763,1.55897145596123,0.0183098591549296,0.023943661971831,0.0112676056338028,0.0396211490320739,0.0376426766823762,2,2
46,576.496755895611,579.511516894677,6.02952199813217,0.0380281690140845,0.023943661971831,0.0253521126760563,0.0477745064483221,0.0371404132456408,1,2
47,600.877018506113,601.968904230287,2.18377144834744,0.0323943661971831,0.0323943661971831,0.0225352112676056,0.0461500890526861,0.0389398069480573,2,2
48,646.226519081824,647.835224518593,3.21741087353803,0.023943661971831,0.023943661971831,0.0140845070422535,0.042307607903629,0.0342281971824487,2,2
49,619.25052892194,620.154015423024,1.80697300216934,0.0267605633802817,0.0211267605633803,0.0140845070422535,0.0308192588164561,0.0289718642499858,2,2
50,609.280620676511,610.285749520372,2.01025768772229,0.0211267605633803,0.0267605633802817,0.0140845070422535,0.0321176544183223,0.0415355802812034,1,1
51,614.959748381665,615.391275997173,0.863055231016006,0.0295774647887324,0.0267605633802817,0.00563380281690141,0.04015821564424,0.0364150824695767,2,2
52,641.576468108434,643.146904803749,3.14087339062917,0.0154929577464789,0.0154929577464789,0.0197183098591549,0.0366311368958493,0.0353426260631152,2,2
53,596.712239696548,598.155877268919,2.88727514474294,0.0295774647887324,0.0408450704225352,0.0112676056338028,0.0381090290062632,0.0414264909363302,2,2
54,635.167671976427,636.836973125059,3.33860229726224,0.0323943661971831,0.0211267605633803,0.0140845070422535,0.030160883769329,0.0290712017338085,1,2
55,635.458252503082,637.027044155994,3.13758330582323,0.023943661971831,0.0183098591549296,0.0140845070422535,0.0318491303954591,0.0306318381653804,1,2
56,617.015905627782,618.04545450043,2.0590977452955,0.0267605633802817,0.023943661971831,0.0225352112676056,0.0446190427673433,0.0295726281864193,1,2
57,624.526683654694,624.655931986513,0.258496663636379,0.0323943661971831,0.0267605633802817,0.00563380281690141,0.0260434565734029,0.0236873307768983,1,2
58,614.719971265864,615.355454010317,1.27096548890472,0.0126760563380282,0.0154929577464789,0.0140845070422535,0.0262715358754201,0.0313249527356124,2,2
59,646.246163136431,646.454075080899,0.415823888935847,0.0267605633802817,0.0295774647887324,0.0112676056338028,0.0405912029262779,0.0373939534806188,1,2
60,637.113210770653,637.139130343234,0.0518391451603293,0.0211267605633803,0.0183098591549296,0.00563380281690141,0.0448268004916723,0.0458398546834496,2,2
61,641.35048725368,642.362652474388,2.02433044141662,0.023943661971831,0.0183098591549296,0.0140845070422535,0.0400601872701207,0.032700050438971,1,2
62,622.38214632307,624.539296741178,4.31430083621694,0.0295774647887324,0.0183098591549296,0.0225352112676056,0.0507716450242345,0.0261905728493241,2,2
63,648.706006880647,648.824559317283,0.237104873270255,0.0267605633802817,0.023943661971831,0.00563380281690141,0.0353513842709506,0.0344588910782949,2,2
64,634.168241122823,635.474239481577,2.61199671750751,0.0295774647887324,0.023943661971831,0.0140845070422535,0.0344084387848812,0.0469022231030524,2,2
65,625.675910315505,626.155479391667,0.959138152324385,0.023943661971831,0.0267605633802817,0.0112676056338028,0.0292371182380565,0.0391956537330711,1,2
66,640.077626585221,640.636465063398,1.11767695635308,0.0352112676056338,0.0436619718309859,0.0112676056338028,0.0412463948443048,0.0465797184685361,2,2
67,639.10927107232,640.447897026504,2.67725190836791,0.0154929577464789,0.023943661971831,0.0169014084507042,0.0294266071681005,0.0288423394987598,1,2
68,613.063096285515,614.649442544752,3.17269251847279,0.0436619718309859,0.0380281690140845,0.0140845070422535,0.0417168410729325,0.0438947121525618,1,2
69,602.212099551552,602.326407590401,0.228616077698007,0.0323943661971831,0.0323943661971831,0.0028169014084507,0.0331327596962075,0.0311148209185484,2,2
70,598.014779045035,599.421772274554,2.81398645903823,0.0154929577464789,0.0211267605633803,0.0140845070422535,0.045218279478159,0.0268033701304529,2,2
71,618.079859561092,620.073554743314,3.98739036444408,0.0408450704225352,0.0295774647887324,0.0197183098591549,0.0652040007876188,0.046604477621798,2,2
72,656.13757375559,659.411628220341,6.5481089295015,0.0464788732394366,0.0464788732394366,0.0169014084507042,0.0407098223352509,0.0391614756877928,2,2
73,611.865153019899,612.214749946207,0.699193852616418,0.0267605633802817,0.023943661971831,0.00845070422535212,0.0379553521791109,0.0334662304788286,2,2
74,626.35596871351,627.967109907992,3.222282388964,0.023943661971831,0.0211267605633803,0.0140845070422535,0.0350533007683679,0.0332605237361201,2,2
75,624.375387908294,625.58427098439,2.41776615219192,0.0352112676056338,0.0267605633802817,0.0112676056338028,0.0521181165460193,0.0597248743839153,2,2
76,630.191346496565,632.938694522703,5.49469605227682,0.0267605633802817,0.0154929577464789,0.0197183098591549,0.0371420292066968,0.0301462685632864,2,2
77,633.547513743064,633.855022079362,0.615016672597676,0.023943661971831,0.0295774647887324,0.0112676056338028,0.0356656073666715,0.0310109066311748,2,2
