Simulation,LL_Null,LL_Alternative,Alpha_B,Beta_B,TestStatistic,PIT_Sup_Null,PIT_Sup_Alternative,PIT_Pairwise_Delta,KS_Null,KS_Alternative,ExitFlag_Null,ExitFlag_Alternative,AlphaSearchExpanded,AlphaBoundaryHit,AlphaCandidatesEvaluated,AlphaCandidatesEstimated,AlphaNullCandidateReused,AlphaSearchStopReason
29,619.741565177566,619.932591535148,1.05,1,0.382052715163582,0.026056338028169,0.0330985915492958,0.0225352112676056,0.0335004170035872,0.0490573162860716,2,2,0,0,5,4,1,interior optimum
30,637.658926407458,637.82066395512,0.95,1,0.323475095323829,0.021830985915493,0.0302816901408451,0.0140845070422535,0.0261999815277699,0.0376946377996913,1,2,0,0,5,4,1,interior optimum
31,585.136183973811,585.576977445429,1.05,1,0.88158694323738,0.026056338028169,0.0274647887323944,0.0169014084507042,0.0470276894776926,0.0589952930384595,2,2,0,0,5,4,1,interior optimum
32,618.823732527268,618.823732527268,1,1,0,0.0316901408450704,0.0316901408450704,0,0.0592774393729355,0.0592774393729355,1,1,0,0,5,4,1,interior optimum
33,620.667720188444,620.799725286076,1.05,1,0.264010195264518,0.0246478873239437,0.0246478873239437,0.0112676056338028,0.0387378417843294,0.0371565783236028,2,2,0,0,5,4,1,interior optimum
34,618.168896459491,618.168896459491,1,1,0,0.0288732394366197,0.0288732394366197,0,0.0484972282518771,0.0484972282518771,2,2,0,0,5,4,1,interior optimum
35,623.315692409289,623.808644957477,0.95,1,0.985905096376428,0.0288732394366197,0.026056338028169,0.0112676056338028,0.0475283835176422,0.0419952345278887,2,2,0,0,5,4,1,interior optimum
36,645.000930725115,645.777295847961,0.95,1,1.5527302456926,0.0288732394366197,0.0316901408450704,0.0112676056338028,0.0422379685053298,0.0351140933381881,1,2,1,0,7,6,1,interior optimum
37,605.303934582987,605.331296168313,1.05,1,0.0547231706500497,0.0147887323943662,0.0176056338028169,0.0112676056338028,0.0253156946845345,0.0393656962159308,2,2,0,0,5,4,1,interior optimum
38,633.046566154454,633.046566154454,1,1,0,0.0204225352112676,0.0204225352112676,0,0.0354005525774079,0.0354005525774079,2,2,0,0,5,4,1,interior optimum
39,625.501145661098,625.857865383599,0.95,1,0.713439445000859,0.026056338028169,0.0204225352112676,0.0169014084507042,0.0440016786483508,0.0387623501930648,2,1,0,0,5,4,1,interior optimum
40,616.100925386446,616.621240700523,1.05,1,1.04063062815499,0.021830985915493,0.0288732394366197,0.0225352112676056,0.039118557583588,0.0460656484876783,2,2,0,0,5,4,1,interior optimum
41,647.168204382082,647.885943970673,0.95,1,1.43547917718092,0.0345070422535211,0.0288732394366197,0.0140845070422535,0.0290752512000569,0.0378343111844057,1,2,1,0,7,6,1,interior optimum
42,624.150776072458,624.885485365224,0.95,1,1.46941858553259,0.0232394366197183,0.0204225352112676,0.0253521126760563,0.0712360936275672,0.054734891024337,2,2,0,0,5,4,1,interior optimum
43,647.689768656435,649.896611543369,0.9,1,4.41368577386788,0.021830985915493,0.0204225352112676,0.0140845070422535,0.0605381090096936,0.0357490757055168,2,1,1,0,7,6,1,interior optimum
44,606.475537971201,606.475537971201,1,1,0,0.026056338028169,0.026056338028169,0,0.0482993136296554,0.0482993136296554,1,1,0,0,5,4,1,interior optimum
45,626.390130048783,626.854709767954,0.95,1,0.929159438342367,0.0161971830985916,0.0133802816901408,0.0112676056338028,0.0396211490320739,0.0267376694335705,2,2,0,0,5,4,1,interior optimum
46,576.496755895611,579.100096618421,1.1,1,5.2066814456191,0.026056338028169,0.021830985915493,0.0169014084507042,0.0477745064483221,0.0369340064990554,1,2,1,0,7,6,1,interior optimum
47,600.877018506113,600.877018506113,1,1,0,0.0387323943661972,0.0387323943661972,0,0.0461500890526861,0.0461500890526861,2,2,0,0,5,4,1,interior optimum
48,646.226519081824,648.272229361819,0.9,1,4.09142055999109,0.0373239436619718,0.0288732394366197,0.0225352112676056,0.042307607903629,0.0250840926312199,2,2,1,0,7,6,1,interior optimum
49,619.25052892194,619.269991357136,1.05,1,0.0389248703927478,0.0288732394366197,0.0246478873239437,0.0112676056338028,0.0308192588164561,0.0314240008337165,2,2,0,0,5,4,1,interior optimum
50,609.280620676511,609.280620676511,1,1,0,0.0176056338028169,0.0176056338028169,0,0.0321176544183223,0.0321176544183223,1,1,0,0,5,4,1,interior optimum
