date_30,rf_gross_TTM30,date_60,rf_gross_TTM60,date_90,rf_gross_TTM90,date_180,rf_gross_TTM180
20030918,1.00086349992213,20030923,1.00184374122686,20031222,1.0028208766833,20170724,1.00677652313311
20031023,1.00086847139623,20031021,1.00185609982985,20040120,1.0027006470488,20170918,1.00700108885469
20031120,1.00086622694709,20031118,1.00184787614095,20040223,1.00273244260196,20171218,1.00852967165788
20031218,1.00087642382081,20031223,1.00186917624099,20040322,1.00268507546414,20180326,1.01120449082016
20040122,1.00085036818009,20040120,1.00179878430714,20040419,1.00286132078595,20180625,1.01199517754951
20040219,1.00084591690661,20040217,1.00179090866578,20040524,1.00343556922676,20180723,1.01214453251827
20040318,1.00084264645794,20040323,1.00177641335533,20040621,1.00396514535212,20180917,1.01256035039823
20040422,1.00085465465317,20040420,1.00184767323207,20040719,1.00407177245188,20181224,1.01342468583889
20040520,1.00085834813722,20040518,1.00203123068028,20040823,1.00449903245776,20190219,1.01280353304743
20040617,1.00098717174181,20040622,1.00244165284429,20040920,1.00483375837934,20190325,1.01251191787424
20040722,1.00111417993643,20040720,1.00258503886639,20041025,1.00519908048691,20190422,1.01269955310219
20040819,1.00124916967837,20040817,1.00277412231156,20041122,1.00588869929604,20190520,1.01219412597701
20040916,1.00140734010096,20040921,1.00313053312748,20041220,1.00631963291841,20190624,1.01015233379346
20041021,1.00149048207688,20041019,1.00329621511982,20050222,1.0070696850782,20190722,1.0105206361831
20041118,1.00166137845293,20041123,1.00378607529857,20050321,1.00759035783979,20190826,1.0093569892063
20041223,1.0018858526726,20041221,1.00407947347886,20050418,1.00775371825582,20190923,1.00963409398643
20050120,1.00194744770836,20050118,1.00428421243185,20050523,1.00820292134141,20191021,1.00886236331708
20050217,1.00202465755267,20050215,1.00446713087906,20050620,1.00851523718005,20191118,1.00865199995243
20050317,1.00221374141308,20050322,1.00489652089436,20050725,1.00909507117161,20191223,1.00883543452439
20050421,1.00234485092769,20050419,1.00503689697493,20050822,1.00948376752805,20200121,1.00837340180545
20050519,1.00240398605867,20050517,1.00522507294743,20050919,1.00960268516327,20200224,1.00737292181008
20050616,1.00252898927909,20050621,1.00555556994594,20051024,1.01035758872398,20200323,1.00304082095745
20050721,1.00267468870755,20050719,1.00579049062722,20051121,1.01073155113495,20200420,1.00246448343631
20050818,1.002801162061,20050823,1.00614900113701,20051219,1.01104313568354,20200526,1.00141761661541
20050922,1.00298125938766,20050920,1.00636429710434,20060123,1.01131265234523,20200622,1.00138674662009
20051020,1.00312828058763,20051018,1.00666234631705,20060221,1.01161442265073,20200720,1.00126320921098
20051117,1.00322697061883,20051122,1.00699838224631,20060320,1.01198869612977,20200824,1.00115163175159
20051222,1.00340984315534,20051220,1.00725099340988,20060424,1.01243887678361,20200921,1.00110553991166
20060119,1.00350004866892,20060117,1.00738488207006,20060522,1.01269076644372,20201019,1.00101196579475
20060216,1.00355834360842,20060221,1.00769371408865,20060619,1.01321878434915,20201123,1.00104033962168
20060323,1.0037511685258,20060321,1.00792971716067,20060724,1.01329971298676,20201221,1.00086514646908
20060420,1.00383929926667,20060418,1.00811011193382,20060821,1.01310285895439,20210119,1.00085074851741
20060518,1.00395015543211,20060523,1.0083712120227,20060918,1.01306779448837,20210222,1.00070904237507
