Simulation,LL_A,LL_B,Beta_A,Beta_B,TestStatistic,PIT_Sup_A,PIT_Sup_B,PIT_Gain_B,PIT_Pairwise_Delta,KS_A,KS_B,ExitFlag_A,ExitFlag_B
32,653.24011894577,654.06584395877,1,1,1.65145002600002,0.0323943661971831,0.0267605633802817,0.0056338028169014,0.028169014084507,0.0370256307726121,0.0258603120548795,2,2
33,636.167449873221,638.25460351721,1,1,4.17430728797831,0.0183098591549296,0.023943661971831,-0.00563380281690141,0.0140845070422535,0.0286624622676734,0.0287510737253173,2,2
34,634.262482960094,635.542781606187,1,1,2.56059729218669,0.023943661971831,0.0267605633802817,-0.00281690140845071,0.00845070422535212,0.0318321028252186,0.0407919376141139,2,2
35,601.180317905151,603.322914918907,1,1,4.28519402751158,0.0295774647887324,0.0267605633802817,0.0028169014084507,0.0140845070422535,0.0355760110937875,0.0241337530228874,2,2
36,630.06336453251,630.300598717951,1,1,0.474468370882732,0.0267605633802817,0.0295774647887324,-0.0028169014084507,0.0140845070422535,0.0455624036509095,0.0447534888985631,1,2
37,618.917312847004,619.066555891371,1,1,0.298486088732943,0.0352112676056338,0.0408450704225352,-0.00563380281690143,0.0112676056338028,0.0812100977043363,0.0767231449231416,2,2
38,621.069051202825,625.775902781074,1,1,9.41370315649942,0.0323943661971831,0.0295774647887324,0.0028169014084507,0.0169014084507042,0.0472387685144423,0.03041302144665,2,2
39,648.877661581129,652.056640398149,1,1,6.35795763403962,0.0352112676056338,0.0295774647887324,0.00563380281690141,0.0169014084507042,0.0497243744659319,0.0317874680807832,1,2
40,631.734581510579,634.682992899526,1,1,5.89682277789257,0.0154929577464789,0.0154929577464789,0,0.0140845070422535,0.0263605019584799,0.0258629729332417,2,2
41,635.181756553055,635.397954146292,1,1,0.432395186472149,0.0295774647887324,0.023943661971831,0.0056338028169014,0.00845070422535212,0.0484337362216559,0.0428435172976411,2,2
42,618.837151410547,619.61374615093,1,1,1.55318948076501,0.0323943661971831,0.023943661971831,0.00845070422535212,0.00845070422535212,0.0309357785451027,0.0327609448027629,2,2
43,625.866545930803,628.161967592643,1,1,4.59084332368025,0.023943661971831,0.0352112676056338,-0.0112676056338028,0.0169014084507042,0.037031842104324,0.0271239841097966,2,2
44,640.371096092251,641.184025853091,1,1,1.62585952168024,0.0267605633802817,0.0267605633802817,0,0.0112676056338028,0.0368740542735175,0.0405244281613809,1,2
45,614.861675574378,616.187494824407,1,1,2.65163850005865,0.0126760563380282,0.0154929577464789,-0.00281690140845069,0.00845070422535212,0.032680263091706,0.0293858168011844,2,2
46,635.497230850026,640.676401308937,1,1,10.3583409178211,0.0464788732394366,0.0323943661971831,0.0140845070422535,0.0253521126760563,0.0510419927648869,0.0472448771485891,1,2
47,613.118754054272,613.426034125318,1,1,0.614560142091705,0.023943661971831,0.023943661971831,0,0.00845070422535212,0.0334132641238166,0.0334151888318243,2,2
48,638.674353790279,639.10351900723,1,1,0.858330433901983,0.0323943661971831,0.0295774647887324,0.0028169014084507,0.0169014084507042,0.0400591426053387,0.0312855508978577,2,2
49,638.426296650651,639.378308464808,1,1,1.90402362831423,0.023943661971831,0.0323943661971831,-0.0084507042253521,0.0084507042253521,0.0514905613448132,0.0504195741952871,1,2
50,592.799435884381,594.51385311563,1,1,3.42883446249925,0.0267605633802817,0.023943661971831,0.0028169014084507,0.0225352112676056,0.0330081638258545,0.0281128495835534,2,2
